subgroup_col,subgroup_value,n,withdrawal_rate,recall,f1,pr_auc,false_positive_rate,missed_withdrawals
imd_band,0-10%,698,0.3638968481375358,0.6929133858267716,0.6604127579737336,0.761121735261455,0.1882998171846435,78
imd_band,10-20,718,0.35097493036211697,0.7261904761904762,0.7218934911242604,0.8038383157686141,0.13382899628252787,69
imd_band,20-30%,691,0.3516642547033285,0.6995884773662552,0.6841046277665996,0.7867478785043186,0.15789473684210525,73
imd_band,30-40%,668,0.2949101796407186,0.6598984771573604,0.6582278481012658,0.7396213165273492,0.1261595547309833,67
imd_band,40-50%,677,0.3087149187592319,0.6220095693779905,0.6310679611650486,0.7288601167368767,0.13493530499075784,79
imd_band,50-60%,638,0.28996865203761757,0.5945945945945946,0.632183908045977,0.7301317778081924,0.10474308300395258,75
imd_band,60-70%,569,0.29876977152899825,0.6764705882352942,0.7012195121951219,0.7661582315745152,0.09728506787330317,55
imd_band,70-80%,561,0.25846702317290554,0.6827586206896552,0.6556291390728477,0.7285860975421246,0.12236286919831224,46
imd_band,80-90%,503,0.2624254473161034,0.6515151515151515,0.6187050359712231,0.7074813307937893,0.13921113689095127,46
imd_band,90-100%,531,0.24670433145009416,0.6793893129770993,0.689922480620155,0.7770584954409693,0.0867579908675799,42
age_band,0-35,4530,0.3075055187637969,0.6819813352476669,0.6661991584852734,0.7563171241860723,0.13960504662643994,443
age_band,35-55,1899,0.2890995260663507,0.6484517304189436,0.6679174484052532,0.7366636655805539,0.10655195234943746,193
age_band,55<=,42,0.30952380952380953,0.46153846153846156,0.6,0.800922575922576,0.03333333333333333,7
highest_education,A Level or Equivalent,2758,0.2773749093546048,0.6601307189542484,0.6693174287607687,0.7573458525432386,0.10707885304659498,260
highest_education,HE Qualification,938,0.2771855010660981,0.6576923076923077,0.6576923076923077,0.7272807429850139,0.11603650586701435,89
highest_education,Lower Than A Level,2653,0.33546928006030907,0.6842696629213483,0.6641221374045801,0.7509084352225176,0.15967588179218303,281
highest_education,No Formal quals,77,0.37662337662337664,0.8275862068965517,0.8275862068965517,0.8547417360462048,0.09433962264150944,5
highest_education,Post Graduate Qualification,45,0.24444444444444444,0.2727272727272727,0.35294117647058826,0.4991631462219698,0.08108108108108109,8
